Experiment	Flowpot	Plant	R401	Freshweight
II	1	4	56DD	7.1
II	1	4	DD	0
II	1	4	HK	8.8
II	1	4	WT	11.9
II	1	5	54	0
II	1	5	56	0
II	1	5	54DD	0
II	1	5	56DD	0
II	1	5	DD	0
II	1	5	HK	1.2
II	1	5	WT	13.9
II	1	6	54	0
II	1	6	56	0
II	1	6	54DD	0
II	1	6	56DD	0
II	1	6	DD	0
II	1	6	HK	0
II	1	6	WT	0
II	2	1	54	1.8
II	2	1	56	6.3
II	2	1	54DD	12.2
II	2	1	56DD	4.1
II	2	1	DD	2.2
II	2	1	HK	3.8
II	2	1	WT	6.2
II	2	2	54	4.9
II	2	2	56	3.1
II	2	2	54DD	2.7
II	2	2	56DD	5.9
II	2	2	DD	4.6
II	2	2	HK	2.6
II	2	2	WT	11.7
II	2	3	54	6.3
II	2	3	56	1.3
II	2	3	54DD	6.7
II	2	3	56DD	6.3
II	2	3	DD	2.7
II	2	3	HK	3.5
II	2	3	WT	10.3
II	2	4	54	9.1
II	2	4	56	1.4
II	2	4	54DD	6.3
II	2	4	56DD	3.2
II	2	4	DD	11.5
II	2	4	HK	0
II	2	4	WT	0
II	2	5	54	0
II	2	5	56	0
II	2	5	54DD	5
II	2	5	56DD	6.2
II	2	5	DD	3.2
II	2	5	HK	0
II	2	5	WT	0
II	2	6	54	0
II	2	6	56	0
II	2	6	54DD	0
II	2	6	56DD	0
II	2	6	DD	0
II	2	6	HK	0
II	2	6	WT	0
II	3	1	54	10.2
II	3	1	56	4.4
II	3	1	54DD	1.9
II	3	1	56DD	0.1
II	3	1	DD	6.8
II	3	1	HK	4
II	3	1	WT	4.9
II	3	2	54	11.7
II	3	2	56	5.4
II	3	2	54DD	9.2
II	3	2	56DD	4.4
II	3	2	DD	8.2
II	3	2	HK	12.7
II	3	2	WT	6
II	3	3	54	12.8
II	3	3	56	3.8
II	3	3	54DD	12
II	3	3	56DD	3.1
II	3	3	DD	3.1
II	3	3	HK	12.4
II	3	3	WT	7.5
II	3	4	54	8.1
II	3	4	56	2.4
II	3	4	54DD	2.6
II	3	4	56DD	1.9
II	3	4	DD	4.7
II	3	4	HK	4.6
II	3	4	WT	0
II	3	5	54	4.2
II	3	5	56	0
II	3	5	54DD	1.7
II	3	5	56DD	7.3
II	3	5	DD	2.9
II	3	5	HK	0
II	3	5	WT	0
II	3	6	54	0
II	3	6	56	0
II	3	6	54DD	1
II	3	6	56DD	0
II	3	6	DD	0
II	3	6	HK	0
II	3	6	WT	0
II	4	1	54	5.8
II	4	1	56	4.2
II	4	1	54DD	3.2
II	4	1	56DD	11.5
II	4	1	DD	6.8
II	4	1	HK	7.2
II	4	1	WT	11
II	4	2	54	13.8
II	4	2	56	2.2
II	4	2	54DD	6.1
II	4	2	56DD	9.5
II	4	2	DD	10.1
II	4	2	HK	9
II	4	2	WT	17
II	4	3	54	2.2
II	4	3	56	0.3
II	4	3	54DD	16.1
II	4	3	56DD	6.9
II	4	3	DD	5.4
II	4	3	HK	0
II	4	3	WT	8.8
II	4	4	54	5
II	4	4	56	1.3
II	4	4	54DD	8.6
II	4	4	56DD	2.7
II	4	4	DD	8.3
II	4	4	HK	0
II	4	4	WT	8.8
II	4	5	54	5.2
II	4	5	56	0.2
II	4	5	54DD	0
II	4	5	56DD	1.6
II	4	5	DD	0
II	4	5	HK	0
II	4	5	WT	0
II	4	6	54	0
II	4	6	56	0
II	4	6	54DD	0
II	4	6	56DD	0
II	4	6	DD	0
II	4	6	HK	0
II	4	6	WT	0
II	5	1	54	7.5
II	5	1	56	3.9
II	5	1	54DD	6.3
II	5	1	56DD	7.1
II	5	1	DD	6.9
II	5	1	HK	4.6
II	5	1	WT	5.6
II	5	2	54	9.5
II	5	2	56	3.9
II	5	2	54DD	3.9
II	5	2	56DD	3.2
II	5	2	DD	4.7
II	5	2	HK	8.8
II	5	2	WT	13.1
II	5	3	54	4.9
II	5	3	56	5.2
II	5	3	54DD	5
II	5	3	56DD	3.1
II	5	3	DD	11.8
II	5	3	HK	5.2
II	5	3	WT	6.1
II	5	4	54	10.1
II	5	4	56	2.3
II	5	4	54DD	3.3
II	5	4	56DD	5.6
II	5	4	DD	0.9
II	5	4	HK	2.4
II	5	4	WT	3.6
II	5	5	54	0
II	5	5	56	0
II	5	5	54DD	2.9
II	5	5	56DD	0
II	5	5	DD	0
II	5	5	HK	5.3
II	5	5	WT	0
II	5	6	54	0
II	5	6	56	0
II	5	6	54DD	0
II	5	6	56DD	0
II	5	6	DD	0
II	5	6	HK	0
II	5	6	WT	0
II	6	1	54	6
II	6	1	56	1.2
II	6	1	54DD	5.1
II	6	1	56DD	5.1
II	6	1	DD	7.9
II	6	1	HK	5.5
II	6	1	WT	9.4
II	6	2	54	12.7
II	6	2	56	2.6
II	6	2	54DD	6.4
II	6	2	56DD	3.7
II	6	2	DD	5
II	6	2	HK	7.6
II	6	2	WT	12.2
II	6	3	54	9.6
II	6	3	56	3.9
II	6	3	54DD	4.4
II	6	3	56DD	2.9
II	6	3	DD	6.7
II	6	3	HK	0
II	6	3	WT	3.1
II	6	4	54	2.3
II	6	4	56	0
II	6	4	54DD	4.5
II	6	4	56DD	0.9
II	6	4	DD	1.5
II	6	4	HK	0
II	6	4	WT	5
II	6	5	54	1.7
II	6	5	56	0
II	6	5	54DD	5.2
II	6	5	56DD	1.8
II	6	5	DD	5.9
II	6	5	HK	0
II	6	5	WT	2.2
II	6	6	54	0
II	6	6	56	0
II	6	6	54DD	0
II	6	6	56DD	0
II	6	6	DD	0
II	6	6	HK	0
II	6	6	WT	0
II	7	1	54	6.6
II	7	1	56	3.8
II	7	1	54DD	7
II	7	1	56DD	0.1
II	7	1	DD	4.1
II	7	1	HK	5.3
II	7	1	WT	2.2
II	7	2	54	4.7
II	7	2	56	2.8
II	7	2	54DD	0
II	7	2	56DD	5.1
