Isolate	Isolate_old	Fraction	Phylum	Class	Order	Family	Genus	nBGCs	mean_ant	n_ant	mean_sus	n_sus	R401
Root224	224	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	2	0	0	0.003262626	8	0
Root227	227	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	ND	3	0.005484848	3	0.002611111	2	0.136
Root231	231	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	8	0	0	0.001707071	1	0
Root236	236	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Aeromicrobium	1	0	0	0.030813131	25	0
Root239	239	root-derived	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	7	0.005141414	6	0	0	0
Root240	240	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	4	0.006010101	3	0.042090909	16	0.05
Root241	241	root-derived	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	1	0.005060606	3	0	0	0
Root258	258	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	8	0.018469697	10	0	0	0
Root264	264	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	39	0	0	0.009368687	10	0
Root265	265	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	19	0	0	0.020222222	20	0.689
Root267	267	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	4	0.005651515	2	0	0	0
Root268	268	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	7	0	0	0.002388889	1	0
Root274	274	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	ND	6	0	0	0	0	0
Root275	275	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	4	0.003464646	3	0	0	0
Root278	278	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	7	0.002060606	1	0	0	0
Root322	322	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	2	0.003974747	8	0.026611111	41	0.446
Root329	329	root-derived	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	6	0.033454545	14	0	0	0
Root332	332	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	ND	2	0.013030303	2	0.001282828	2	0
Root335	335	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	10	0.011242424	8	0	0	0
Root342	342	root-derived	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	5	0	0	0.015348485	10	0.342
Root343	343	root-derived	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	5	0.001459596	2	0.015944444	6	0
Root344	344	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Aeromicrobium	2	0.007919192	3	0.010813131	15	0
Root369	369	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	26	0.013585859	12	0.012373737	11	0
Root381	381	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	ND	4	0.001247475	2	0.001545455	1	0
Root401	401	root-derived	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	17	0.155565657	50	0	0	0
Root402	402	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	3	0.002686869	2	0.000560606	2	0.041
Root404	404	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	ND	9	0.001540404	1	0	0	0
Root411	411	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	12	0.002964646	2	0	0	0
Root418	418	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	8	0	0	0	0	0
Root420	420	root-derived	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	5	0.006222222	5	0.000252525	1	0
Root423	423	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	7	0.005989899	4	0	0	0
Root431	431	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	18	0	0	0.003484848	7	0
Root434	434	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	9	0.003843434	2	0.000510101	1	0
Root436	436	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	ND	3	0.003641414	4	0	0	0
Root456	456	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	ND	4	0	0	0.008414141	6	0
Root473	473	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	5	0.004358586	3	0.000570707	1	0
Root480	480	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	ND	4	0.00089899	2	0.012287879	18	0.129
Root482	482	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	2	0	0	0	0	0
Root485	485	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	3	0.005459596	2	0.003914141	10	0
Root491	491	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	2	0.001434343	3	0	0	0
Root552	552	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	1	0	0	0	0	0
Root553	553	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	ND	3	0.006146465	10	0	0	1.29
Root554	554	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	4	0	0	0.001176768	1	0
Root558	558	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	8	0	0	0	0	0
Root559	559	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	ND	8	0.007727273	4	0.001393939	4	0
Root561	561	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Rhodanobacter	4	0	0	0.06030303	28	0.389
Root562	562	root-derived	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	7	0.045681818	18	0	0	0
Root563	563	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	1	0	0	0.006909091	4	0.395
Root564	564	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	5	0.012540404	6	0	0	0
Root565	565	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	4	0.050030303	19	0	0	0
Root568	568	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	ND	2	0	0	0	0	0
Root569	569	root-derived	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	11	0.046176768	26	0	0	0
Root604	604	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	ND	15	0.004752525	5	0.000434343	1	0
Root614	614	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	ND	3	0.000353535	1	0.009176768	5	0.592
Root627	627	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Rhodanobacter	3	0.009383838	5	0.028040404	13	0
Root630	630	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	2	0	0	0	0	0
Root635	635	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	ND	4	0.017883838	11	0	0	0
Root651	651	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	6	0.001585859	4	0	0	0
Root656	656	root-derived	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	5	0	0	0	0	0
