Experiment	Lawn_bacterium	Plate	Colony	Measurement	Colony_diameter	Halo_diameter
II	R930	5	Bottom_center	3	1.156	3.043
II	R930	5	Bottom_center	4	1.13	3.041
II	R930	5	Bottom_center	5	1.138	2.979
II	S736	1	Bottom_center	1	1.175	5
II	S736	1	Bottom_center	2	1.107	5
II	S736	1	Bottom_center	3	1.179	5
II	S736	1	Bottom_center	4	1.184	5
II	S736	1	Bottom_center	5	1.175	5
II	S736	2	Bottom_center	1	1.271	5
II	S736	2	Bottom_center	2	1.189	5
II	S736	2	Bottom_center	3	1.278	5
II	S736	2	Bottom_center	4	1.207	5
II	S736	2	Bottom_center	5	1.257	5
II	S736	3	Bottom_center	1	1.018	5
II	S736	3	Bottom_center	2	0.969	5
II	S736	3	Bottom_center	3	1.004	5
II	S736	3	Bottom_center	4	0.99	5
II	S736	3	Bottom_center	5	1.023	5
II	S736	4	Bottom_center	1	1.026	5
II	S736	4	Bottom_center	2	0.983	5
II	S736	4	Bottom_center	3	1.025	5
II	S736	4	Bottom_center	4	1.029	5
II	S736	4	Bottom_center	5	1.028	5
II	S736	5	Bottom_center	1	1.217	5
II	S736	5	Bottom_center	2	1.157	5
II	S736	5	Bottom_center	3	1.223	5
II	S736	5	Bottom_center	4	1.224	5
II	S736	5	Bottom_center	5	1.214	5
III	R179	1	Bottom_center	1	1.243	2.947
III	R179	1	Bottom_center	2	1.17	2.792
III	R179	1	Bottom_center	3	1.204	2.822
III	R179	1	Bottom_center	4	1.21	2.841
III	R179	1	Bottom_center	5	1.216	2.863
III	R179	2	Bottom_center	1	1.179	2.415
III	R179	2	Bottom_center	2	1.179	2.397
III	R179	2	Bottom_center	3	1.207	2.426
III	R179	2	Bottom_center	4	1.214	2.53
III	R179	2	Bottom_center	5	1.192	2.468
III	R179	3	Bottom_center	1	1.292	2.733
III	R179	3	Bottom_center	2	1.233	2.816
III	R179	3	Bottom_center	3	1.268	2.752
III	R179	3	Bottom_center	4	1.312	2.771
III	R179	3	Bottom_center	5	1.292	2.804
III	R179	4	Bottom_center	1	1.179	2.917
III	R179	4	Bottom_center	2	1.183	2.847
III	R179	4	Bottom_center	3	1.202	2.835
III	R179	4	Bottom_center	4	1.207	2.857
III	R179	4	Bottom_center	5	1.174	2.856
III	R179	5	Bottom_center	1	1.234	2.817
III	R179	5	Bottom_center	2	1.201	2.985
