"lawn_bacterium"	"R401"	"avgnormhalowidth"	"avgnormhalowidth2"
"R50"	"cAcT"	92.6542639855321	110.471349621313
"R50"	"dAcT"	69.2424354245598	174.585179898644
"R50"	"dDAPG"	174.492640686156	58.7895704076622
"R50"	"dDAPGdAcT"	0.00766707511480265	1406000
"R50"	"dDAPGdNRPS"	136.875177584176	78.4901355442555
"R50"	"dNRPS"	120.820649865868	87.4259302926377
"R50"	"WT"	100	100
"R553"	"cAcT"	82.0880762915146	123.622322084663
"R553"	"dAcT"	57.6520006536757	175.267295687261
"R553"	"dDAPG"	27.3909103566494	367.094568171309
"R553"	"dDAPGdAcT"	14.0160608837882	723.557188476108
"R553"	"dDAPGdNRPS"	18.4352611282357	546.713915307061
"R553"	"dNRPS"	61.851377907745	162.335376708907
"R553"	"WT"	100	100
"R667"	"cAcT"	138.385098560015	79.6061145007889
"R667"	"dAcT"	97.1685030222923	104.091310674239
"R667"	"dDAPG"	106.854899082778	94.7799509265483
"R667"	"dDAPGdAcT"	20.5395565129238	606.367607690212
"R667"	"dDAPGdNRPS"	95.0818269312622	108.014637611107
"R667"	"dNRPS"	123.796499950019	81.190929773448
"R667"	"WT"	100	100
"R670"	"cAcT"	85.3097314331102	117.395069523232
"R670"	"dAcT"	61.1268323742059	164.415327904093
"R670"	"dDAPG"	103.838258708641	97.0974050345224
"R670"	"dDAPGdAcT"	40.5784751418682	249.722410781722
"R670"	"dDAPGdNRPS"	85.1264765512464	117.731367794406
"R670"	"dNRPS"	90.5796179463291	111.945903276523
"R670"	"WT"	100	100
"R85"	"cAcT"	88.545751655449	115.806155026494
"R85"	"dAcT"	91.3987508290748	112.086510989914
"R85"	"dDAPG"	49.8998951440636	209.998037899776
"R85"	"dDAPGdAcT"	26.9656198277944	379.671196368959
"R85"	"dDAPGdNRPS"	32.4168072413177	331.474227085623
"R85"	"dNRPS"	91.6459835612774	112.781277589871
"R85"	"WT"	100	100
"R930"	"cAcT"	82.7049067836879	122.346122697525
"R930"	"dAcT"	77.5054780263208	129.73884367615
"R930"	"dDAPG"	16.7694598008377	600.15800097214
"R930"	"dDAPGdAcT"	5.23403431979551	2005.41421824298
"R930"	"dDAPGdNRPS"	7.83695422187567	1301.43539326579
"R930"	"dNRPS"	72.8885896391594	138.05551377649
"R930"	"WT"	100	100
"Rs"	"cAcT"	76.5051152898367	132.110651842618
"Rs"	"dAcT"	45.1101334570015	228.081997548707
"Rs"	"dDAPG"	46.105855146668	225.231952217526
"Rs"	"dDAPGdAcT"	9.3163787984426	1082.95742041293
"Rs"	"dDAPGdNRPS"	20.3449231704248	506.048236757705
"Rs"	"dNRPS"	60.2191961918517	171.306734967311
"Rs"	"WT"	100	100
"S728"	"cAcT"	101.83378547397	98.2198569486917
"S728"	"dAcT"	100.590183333234	99.4384457258813
"S728"	"dDAPG"	21.0346666728188	764.054568076111
"S728"	"dDAPGdAcT"	12.6748085492724	2049.41439555395
"S728"	"dDAPGdNRPS"	9.81993970438893	6504867.39983953
"S728"	"dNRPS"	96.5239977693894	103.612380964527
"S728"	"WT"	100	100
"S736"	"cAcT"	100.050287580195	100.005685752337
"S736"	"dAcT"	100.283810000347	99.7459836217289
"S736"	"dDAPG"	14.5366448614277	712.649083343174
"S736"	"dDAPGdAcT"	6.38203882924383	1581.38114252893
"S736"	"dDAPGdNRPS"	6.41352902979998	1673.61186334376
"S736"	"dNRPS"	97.8126061758939	102.25444510516
"S736"	"WT"	100	100
"S782"	"cAcT"	99.5677157851222	100.445664179226
"S782"	"dAcT"	90.4944613757901	110.523270418239
"S782"	"dDAPG"	45.6992079867542	220.400334834135
"S782"	"dDAPGdAcT"	25.6359740968222	391.817201603215
"S782"	"dDAPGdNRPS"	45.3647531292104	224.883685458642
"S782"	"dNRPS"	99.0181756432197	101.022822749634
"S782"	"WT"	100	100
"S805"	"cAcT"	75.2903866170486	135.431594747224
"S805"	"dAcT"	90.3811281672369	114.758455297692
"S805"	"dDAPG"	57.8305802169295	178.198020673243
"S805"	"dDAPGdAcT"	27.8409374490386	367.215673313585
