Lawn_bacterium	Mutant_setup	Iron	Plate	Colony_pos	Colony	Measurement	Halo_size_mm							
Rs	I	___	5	3	Top_right	5	4.075							
Rs	I	___	5	4	Mid_left	1	3.056							
Rs	I	___	5	4	Mid_left	2	3.733							
Rs	I	___	5	4	Mid_left	3	3.407							
Rs	I	___	5	4	Mid_left	4	3.051							
Rs	I	___	5	4	Mid_left	5	3.390							
Rs	I	___	5	5	Mid_center	1								
Rs	I	___	5	5	Mid_center	2								
Rs	I	___	5	5	Mid_center	3								
Rs	I	___	5	5	Mid_center	4								
Rs	I	___	5	5	Mid_center	5								
Rs	I	___	5	6	Mid_right	1	3.407							
Rs	I	___	5	6	Mid_right	2	3.407							
Rs	I	___	5	6	Mid_right	3	3.394							
Rs	I	___	5	6	Mid_right	4	3.729							
Rs	I	___	5	6	Mid_right	5	3.432							
Rs	I	___	5	7	Bottom_left	1								
Rs	I	___	5	7	Bottom_left	2								
Rs	I	___	5	7	Bottom_left	3								
Rs	I	___	5	7	Bottom_left	4								
Rs	I	___	5	7	Bottom_left	5								
Rs	I	___	5	8	Bottom_center	1	3.225							
Rs	I	___	5	8	Bottom_center	2	3.390							
Rs	I	___	5	8	Bottom_center	3	3.394							
Rs	I	___	5	8	Bottom_center	4	4.071							
Rs	I	___	5	8	Bottom_center	5	3.256							
Rs	I	___	5	9	Bottom_right	1	4.927							
Rs	I	___	5	9	Bottom_right	2	5.254							
Rs	I	___	5	9	Bottom_right	3	5.279							
Rs	I	___	5	9	Bottom_right	4	5.110							
Rs	I	___	5	9	Bottom_right	5	5.031							
Rs	I	___	6	1	Top_left	1	4.323							
Rs	I	___	6	1	Top_left	2	4.241							
Rs	I	___	6	1	Top_left	3	4.330							
Rs	I	___	6	1	Top_left	4	4.153							
Rs	I	___	6	1	Top_left	5	4.256							
Rs	I	___	6	2	Top_center	1	4.933							
Rs	I	___	6	2	Top_center	2	5.085							
Rs	I	___	6	2	Top_center	3	5.011							
