Well	Time	Temp	Mean	Stdev
A4	900.2	21.1	0.4648	0.130400002
A5	900.2	21.1	0.360700011	0.112400003
A6	900.2	21.1	0.315100014	0.043699998
A7	900.2	21.1	0.469500005	0.134399995
A8	900.2	21.1	0.417800009	0.0788
A9	900.2	21.1	0.357899994	0.118600003
B1	900.2	21.1	0.319099993	0.110699996
B10	900.2	21.1	0.327899992	0.103200004
B11	900.2	21.1	0.437400013	0.079999998
B12	900.2	21.1	0.425099999	0.076099999
B2	900.2	21.1	0.34709999	0.106899999
B3	900.2	21.1	0.436699986	0.103399999
B4	900.2	21.1	0.436399996	0.101499997
B5	900.2	21.1	0.343499988	0.091300003
B6	900.2	21.1	0.339599997	0.091200002
B7	900.2	21.1	0.406199992	0.096600004
B8	900.2	21.1	0.424600005	0.100400001
B9	900.2	21.1	0.338200003	0.097599998
C1	900.2	21.1	0.77579999	0.101899996
C10	900.2	21.1	0.790000021	0.093999997
C11	900.2	21.1	0.836799979	0.085500002
C12	900.2	21.1	0.824999988	0.087499999
C2	900.2	21.1	0.785099983	0.0999
C3	900.2	21.1	0.817399979	0.087300003
C4	900.2	21.1	0.833199978	0.100199997
C5	900.2	21.1	0.788500011	0.093000002
C6	900.2	21.1	0.800499976	0.105999999
C7	900.2	21.1	0.835900009	0.101999998
C8	900.2	21.1	0.834999979	0.094499998
C9	900.2	21.1	0.791000009	0.091300003
D1	900.2	21.1	0.736800015	0.071000002
D10	900.2	21.1	0.781300008	0.088699996
D11	900.2	21.1	0.821200013	0.086999997
D12	900.2	21.1	0.795700014	0.080200002
D2	900.2	21.1	0.70660001	0.029300001
D3	900.2	21.1	0.822600007	0.1039
D4	900.2	21.1	0.813499987	0.101499997
D5	900.2	21.1	0.773699999	0.108499996
D6	900.2	21.1	0.763700008	0.097099997
D7	900.2	21.1	0.798300028	0.072400004
D8	900.2	21.1	0.817799985	0.089400001
D9	900.2	21.1	0.782400012	0.090499997
E1	900.2	21.1	0.764800012	0.162100002
E10	900.2	21.1	0.800800025	0.090599999
E11	900.2	21.1	0.885299981	0.161500007
E12	900.2	21.1	0.799099982	0.066399999
E2	900.2	21.1	0.759199977	0.153400004
E3	900.2	21.1	0.853799999	0.133399993
E4	900.2	21.1	0.773899972	0.147100002
E5	900.2	21.1	0.798799992	0.135199994
E6	900.2	21.1	0.886600018	0.093800001
E7	900.2	21.1	0.953800023	0.145300001
E8	900.2	21.1	0.859000027	0.199499995
E9	900.2	21.1	0.812099993	0.072700001
F1	900.2	21.1	0.811100006	0.067199998
F10	900.2	21.1	0.93779999	0.097499996
F11	900.2	21.1	0.835500002	0.078199998
F12	900.2	21.1	0.853500009	0.079899997
F2	900.2	21.1	0.769299984	0.094099998
F3	900.2	21.1	0.783100009	0.086300001
F4	900.2	21.1	0.83890003	0.101400003
F5	900.2	21.1	0.885399997	0.061000001
F6	900.2	21.1	0.908900023	0.120700002
F7	900.2	21.1	0.917999983	0.091499999
F8	900.2	21.1	0.836899996	0.097999997
F9	900.2	21.1	0.929799974	0.087099999
G1	900.2	21.1	0.764299989	0.100400001
G10	900.2	21.1	0.862699986	0.072300002
G11	900.2	21.1	0.92900002	0.200100005
G12	900.2	21.1	0.911499977	0.155399993
G2	900.2	21.1	0.772899985	0.149900004
G3	900.2	21.1	0.79339999	0.133200005
G5	900.2	21.1	0.932399988	0.189199999
G6	900.2	21.1	0.90259999	0.132599995
G7	900.2	21.1	0.856100023	0.174500003
G7	900.2	21.1	0.893899977	0.186000004
G8	900.2	21.1	0.951099992	0.239099994
G9	900.2	21.1	0.979399979	0.115999997
A1	1200.2	21.4	0.356400013	0.141900003
A10	1200.2	21.4	0.354699999	0.138099998
A11	1200.2	21.4	0.454899997	0.114699997
A12	1200.2	21.4	0.444499999	0.124499999
A2	1200.2	21.4	0.360100001	0.138099998
A3	1200.2	21.4	0.421700001	0.088500001
A4	1200.2	21.4	0.450100005	0.131200001
A5	1200.2	21.4	0.333999991	0.108599998
A6	1200.2	21.4	0.302899987	0.0427
A7	1200.2	21.4	0.4542	0.127499998
A8	1200.2	21.4	0.416399986	0.090899996
A9	1200.2	21.4	0.346700013	0.128800005
B1	1200.2	21.4	0.316199988	0.109499998
B10	1200.2	21.4	0.320499986	0.108099997
B11	1200.2	21.4	0.426099986	0.088399999
B12	1200.2	21.4	0.409000009	0.086300001
B2	1200.2	21.4	0.341100007	0.109200001
B3	1200.2	21.4	0.428200006	0.1083
B4	1200.2	21.4	0.430299997	0.106399998
B5	1200.2	21.4	0.333499998	0.109399997
B6	1200.2	21.4	0.330599993	0.106899999
B7	1200.2	21.4	0.402700007	0.1039
B8	1200.2	21.4	0.422699988	0.105599999
B9	1200.2	21.4	0.328000009	0.108000003
C1	1200.2	21.4	0.76849997	0.104000002
C10	1200.2	21.4	0.774399996	0.108199999
C11	1200.2	21.4	0.826699972	0.089500003
C12	1200.2	21.4	0.814300001	0.098099999
C2	1200.2	21.4	0.773800015	0.108599998
C3	1200.2	21.4	0.81190002	0.093000002
C4	1200.2	21.4	0.819999993	0.093400002
C5	1200.2	21.4	0.774500012	0.112899996
C6	1200.2	21.4	0.778500021	0.105499998
C7	1200.2	21.4	0.824800014	0.108099997
C8	1200.2	21.4	0.826900005	0.104900002
C9	1200.2	21.4	0.775699973	0.105099998
D1	1200.2	21.4	0.733900011	0.077100001
D10	1200.2	21.4	0.758000016	0.098700002
D11	1200.2	21.4	0.808200002	0.098200001
D12	1200.2	21.4	0.792500019	0.082000002
D2	1200.2	21.4	0.699699998	0.052499998
D3	1200.2	21.4	0.803799987	0.102300003
D4	1200.2	21.4	0.807399988	0.1052
D5	1200.2	21.4	0.768999994	0.106899999
D6	1200.2	21.4	0.750699997	0.093199998
D7	1200.2	21.4	0.792500019	0.087399997
D8	1200.2	21.4	0.806800008	0.103
D9	1200.2	21.4	0.762000024	0.1052
E1	1200.2	21.4	0.762099981	0.160899997
E10	1200.2	21.4	0.784200013	0.086900003
E11	1200.2	21.4	0.873600006	0.150900006
E12	1200.2	21.4	0.797999978	0.0561
E2	1200.2	21.4	0.74150002	0.138400003
E3	1200.2	21.4	0.852199972	0.119199999
E4	1200.2	21.4	0.79430002	0.133900002
E5	1200.2	21.4	0.811800003	0.136399999
E6	1200.2	21.4	0.872699976	0.133300006
E7	1200.2	21.4	0.89410001	0.140799999
E8	1200.2	21.4	0.845700026	0.176200002
E9	1200.2	21.4	0.799600005	0.073100001
F1	1200.2	21.4	0.813799977	0.077799998
F10	1200.2	21.4	0.902199984	0.052499998
F11	1200.2	21.4	0.825900018	0.084700003
F12	1200.2	21.4	0.849099994	0.0955
F2	1200.2	21.4	0.762700021	0.082699999
